date,open,close
'2023/07/19 13:00,17215.07,17118.52
'2023/07/19 14:00,17118.07,17116.44
'2023/07/20 10:00,17104.91,17189.48
'2023/07/20 11:00,17189.43,17168.59
'2023/07/20 12:00,17169.01,17176.95
'2023/07/20 13:00,17168.65,17157.25
'2023/07/20 14:00,17149.49,17164.89
'2023/07/21 10:00,17106.29,16962.09
'2023/07/21 11:00,16960.68,17045.92
'2023/07/21 12:00,17037.01,16986.51
'2023/07/21 13:00,16996.88,17022.1
'2023/07/21 14:00,17021.27,17030.7
'2023/07/24 10:00,17036.79,17036.98
'2023/07/24 11:00,17039.69,17067.6
'2023/07/24 12:00,17067.21,17042.72
'2023/07/24 13:00,17032.44,17049.78
'2023/07/24 14:00,17050.62,17033.61
'2023/07/25 10:00,17061.88,17204.31
'2023/07/25 11:00,17201.46,17224.68
'2023/07/25 12:00,17214.61,17251.62
'2023/07/25 13:00,17250.77,17235.88
'2023/07/25 14:00,17242.12,17198.89
'2023/07/26 10:00,17205.47,17209.4
'2023/07/26 11:00,17207.49,17218.5
'2023/07/26 12:00,17217.98,17202.33
'2023/07/26 13:00,17202.41,17164.4
'2023/07/26 14:00,17157.26,17162.55
'2023/07/27 10:00,17189.3,17243.19
'2023/07/27 11:00,17244.64,17227.55
'2023/07/27 12:00,17231.11,17239.63
'2023/07/27 13:00,17238.46,17263.23
'2023/07/27 14:00,17262.8,17241.82
'2023/07/28 10:00,17244.51,17246.2
'2023/07/28 11:00,17247.07,17288.23
'2023/07/28 12:00,17287.94,17284.53
'2023/07/28 13:00,17284.89,17274.44
'2023/07/28 14:00,17266.84,17292.93
'2023/07/31 10:00,17341.04,17375.8
'2023/07/31 11:00,17374.03,17333.57
'2023/07/31 12:00,17333.36,17142.48
'2023/07/31 13:00,17143.26,17112.94
'2023/07/31 14:00,17114.84,17145.43
'2023/08/01 10:00,17141.97,17132.89
'2023/08/01 11:00,17133.63,17151.89
'2023/08/01 12:00,17152.56,17186.76
'2023/08/01 13:00,17186.01,17198.48
'2023/08/01 14:00,17197.8,17212.87
'2023/08/02 10:00,17207.22,17081.67
'2023/08/02 11:00,17082.02,16950.38
'2023/08/02 12:00,16943.71,16925.22
'2023/08/02 13:00,16921.86,16897.21
'2023/08/02 14:00,16897.53,16893.73
'2023/08/04 10:00,16847.24,16828.3
'2023/08/04 11:00,16825.53,16866.84
'2023/08/04 12:00,16855.7,16831.53
'2023/08/04 13:00,16824.44,16858.22
'2023/08/04 14:00,16858.27,16843.68
'2023/08/07 10:00,16870.81,16946.62
'2023/08/07 11:00,16958.47,17013.84
'2023/08/07 12:00,17012.56,17004.39
'2023/08/07 13:00,17003.62,17031
'2023/08/07 14:00,17031.61,16996
'2023/08/08 10:00,17006.46,16848.77
'2023/08/08 11:00,16849.61,16880.34
'2023/08/08 12:00,16880.9,16885.28
'2023/08/08 13:00,16876.53,16928.3
'2023/08/08 14:00,16930.35,16877.07
'2023/08/09 10:00,16836.64,16917.15
'2023/08/09 11:00,16921.75,16873.36
'2023/08/09 12:00,16864.43,16850.63
'2023/08/09 13:00,16850.2,16856.17
'2023/08/09 14:00,16863.82,16870.94
'2023/08/10 10:00,16827.11,16627.19
'2023/08/10 11:00,16625.17,16635.68
'2023/08/10 12:00,16636.08,16659.45
'2023/08/10 13:00,16659.45,16636.21
'2023/08/10 14:00,16635.65,16634.7
'2023/08/11 10:00,16644.65,16692.35
'2023/08/11 11:00,16700.6,16665.77
'2023/08/11 12:00,16665.09,16651.47
'2023/08/11 13:00,16650.68,16642.7
'2023/08/11 14:00,16641.58,16601.25
'2023/08/14 10:00,16585.41,16411.47
'2023/08/14 11:00,16401.33,16352.02
'2023/08/14 12:00,16351.85,16339.47
'2023/08/14 13:00,16340.21,16376.09
'2023/08/14 14:00,16375.2,16393.66
'2023/08/15 10:00,16438.63,16539.92
'2023/08/15 11:00,16531.57,16454.03
'2023/08/15 12:00,16454.75,16459.68
'2023/08/15 13:00,16457.63,16480.35
'2023/08/15 14:00,16479.91,16454.8
'2023/08/16 10:00,16422.2,16399.07
'2023/08/16 11:00,16394.91,16390.12
'2023/08/16 12:00,16390.73,16407.65
'2023/08/16 13:00,16399.85,16390.08
'2023/08/16 14:00,16388.19,16446.78
'2023/08/17 10:00,16411.63,16409.95
'2023/08/17 11:00,16411.33,16511.9
'2023/08/17 12:00,16520.13,16488.13
'2023/08/17 13:00,16487.27,16522.81
'2023/08/17 14:00,16529.28,16516.66
'2023/08/18 10:00,16508.46,16557.47
'2023/08/18 11:00,16558.02,16451.21
'2023/08/18 12:00,16456.84,16411.16
'2023/08/18 13:00,16409.5,16373.63
'2023/08/18 14:00,16373.03,16381.31
'2023/08/21 10:00,16414.14,16376.06
'2023/08/21 11:00,16376.35,16409.21
'2023/08/21 12:00,16409.41,16371.67
'2023/08/21 13:00,16371.4,16371.09
'2023/08/21 14:00,16361.94,16381.49
'2023/08/22 10:00,16429.69,16464.95
'2023/08/22 11:00,16457.09,16440.99
'2023/08/22 12:00,16441.36,16470.16
'2023/08/22 13:00,16470.85,16445.33
'2023/08/22 14:00,16445.24,16437.61
'2023/08/23 10:00,16440.39,16508.8
'2023/08/23 11:00,16509.32,16569.38
'2023/08/23 12:00,16568,16543.79
'2023/08/23 13:00,16545,16555.07
'2023/08/23 14:00,16556,16576.9
'2023/08/24 10:00,16651.03,16803.05
'2023/08/24 11:00,16797.16,16800.49
'2023/08/24 12:00,16791.48,16706.48
'2023/08/24 13:00,16715.45,16773.35
'2023/08/24 14:00,16772.9,16770.87
'2023/08/25 10:00,16708.53,16578.98
'2023/08/25 11:00,16578.88,16554.15
'2023/08/25 12:00,16552.91,16537.43
'2023/08/25 13:00,16539.32,16511.35
'2023/08/25 14:00,16512.15,16481.58
'2023/08/28 10:00,16498.86,16545.31
'2023/08/28 11:00,16544.6,16576.48
'2023/08/28 12:00,16568.24,16518.69
'2023/08/28 13:00,16518.11,16531.14
'2023/08/28 14:00,16532.69,16509.26
'2023/08/29 10:00,16528.49,16503.83
'2023/08/29 11:00,16499.27,16546.51
'2023/08/29 12:00,16543.7,16528.91
'2023/08/29 13:00,16531.06,16574.29
'2023/08/29 14:00,16573.94,16623.65
'2023/08/30 10:00,16666.33,16760.11
'2023/08/30 11:00,16767.8,16713.05
'2023/08/30 12:00,16713.25,16726.47
'2023/08/30 13:00,16726.91,16732.03
'2023/08/30 14:00,16723.76,16719.82
'2023/08/31 10:00,16707.35,16684.88
'2023/08/31 11:00,16684.98,16666
'2023/08/31 12:00,16663.18,16635.41
'2023/08/31 13:00,16643.66,16657.96
'2023/08/31 14:00,16656.46,16634.51
'2023/09/01 10:00,16640.92,16721.51
'2023/09/01 11:00,16721.26,16701.66
'2023/09/01 12:00,16699.51,16670.38
'2023/09/01 13:00,16672.7,16658.42
'2023/09/01 14:00,16660.23,16644.94
'2023/09/04 10:00,16649.67,16697.2
'2023/09/04 11:00,16697.17,16733.77
'2023/09/04 12:00,16741.91,16763.59
'2023/09/04 13:00,16763.31,16759.22
'2023/09/04 14:00,16768.4,16789.69
'2023/09/05 10:00,16784.12,16768.17
'2023/09/05 11:00,16767.35,16764.29
'2023/09/05 12:00,16765.16,16762.22
'2023/09/05 13:00,16762.1,16765.44
'2023/09/05 14:00,16764.89,16791.61
'2023/09/06 10:00,16796.37,16764.06
'2023/09/06 11:00,16764.22,16775.14
'2023/09/06 12:00,16774.57,16771.88
'2023/09/06 13:00,16772.59,16757
'2023/09/06 14:00,16765.9,16738.16
'2023/09/07 10:00,16715.45,16669.96
'2023/09/07 11:00,16677.84,16646.38
'2023/09/07 12:00,16647.47,16668.77
'2023/09/07 13:00,16668.73,16617.32
'2023/09/07 14:00,16615.98,16619.14
'2023/09/08 10:00,16609.93,16511.65
'2023/09/08 11:00,16520.82,16571.94
'2023/09/08 12:00,16572.11,16592.9
'2023/09/08 13:00,16592.71,16569.84
'2023/09/08 14:00,16578.69,16576.02
'2023/09/11 10:00,16579.83,16488.34
'2023/09/11 11:00,16487.92,16446.16
'2023/09/11 12:00,16445.46,16416.18
'2023/09/11 13:00,16418.32,16458.28
'2023/09/11 14:00,16459.59,16432.95
'2023/09/12 10:00,16433.82,16472.65
'2023/09/12 11:00,16472.45,16548.76
'2023/09/12 12:00,16548.28,16560.95
'2023/09/12 13:00,16561.21,16556.09
'2023/09/12 14:00,16554.65,16572.71
'2023/09/13 10:00,16578.13,16600.9
'2023/09/13 11:00,16600.49,16584.07
'2023/09/13 12:00,16584.69,16571.44
'2023/09/13 13:00,16571.05,16583.1
'2023/09/13 14:00,16596.14,16581.51
'2023/09/14 10:00,16581.62,16729.07
'2023/09/14 11:00,16729.86,16748.38
'2023/09/14 12:00,16748.21,16764.38
'2023/09/14 13:00,16763.52,16789.78
'2023/09/14 14:00,16790.73,16807.56
'2023/09/15 10:00,16809.74,16839.96
'2023/09/15 11:00,16841.55,16836.65
'2023/09/15 12:00,16837.49,16840.87
'2023/09/15 13:00,16841.24,16864.56
'2023/09/15 14:00,16855.97,16920.92
'2023/09/18 10:00,16893.97,16785.6
'2023/09/18 11:00,16774.8,16731.26
'2023/09/18 12:00,16732.05,16725.62
'2023/09/18 13:00,16725.33,16709.4
'2023/09/18 14:00,16711.65,16698.24
'2023/09/19 10:00,16706.48,16696.17
'2023/09/19 11:00,16696.02,16666.14
'2023/09/19 12:00,16665.67,16662.74
'2023/09/19 13:00,16662.75,16662.28
'2023/09/19 14:00,16654.7,16636.32
'2023/09/20 10:00,16626.61,16649.74
'2023/09/20 11:00,16641.62,16587.1
'2023/09/20 12:00,16594.83,16592.87
'2023/09/20 13:00,16593.61,16540.94
'2023/09/20 14:00,16541.41,16534.75
'2023/09/21 10:00,16475.42,16348.59
'2023/09/21 11:00,16347.24,16334.82
'2023/09/21 12:00,16334.68,16321.76
'2023/09/21 13:00,16312.35,16313.34
'2023/09/21 14:00,16317.93,16316.67
'2023/09/22 10:00,16267.32,16276.92
'2023/09/22 11:00,16280.48,16296.63
'2023/09/22 12:00,16296.62,16315.04
'2023/09/22 13:00,16326.45,16351.34
'2023/09/22 14:00,16341.69,16344.48
'2023/09/25 10:00,16345.78,16433.02
'2023/09/25 11:00,16431.15,16454.24
'2023/09/25 12:00,16454,16460.08
'2023/09/25 13:00,16459.95,16488.73
'2023/09/25 14:00,16488.73,16452.23
'2023/09/26 10:00,16440.26,16360.88
'2023/09/26 11:00,16359.58,16318.09
'2023/09/26 12:00,16324.73,16324.95
'2023/09/26 13:00,16333.51,16287.9
'2023/09/26 14:00,16299.72,16276.07
'2023/09/27 10:00,16273.84,16298.9
'2023/09/27 11:00,16299.32,16277.01
'2023/09/27 12:00,16274.7,16254.41
'2023/09/27 13:00,16262.96,16306.62
'2023/09/27 14:00,16298.15,16310.36
'2023/09/28 10:00,16330.71,16376.31
'2023/09/28 11:00,16384.14,16330.24
'2023/09/28 12:00,16323.87,16341
'2023/09/28 13:00,16341.67,16352.07
'2023/09/28 14:00,16353.27,16353.74
'2023/10/02 10:00,16382.96,16544.94
'2023/10/02 11:00,16544.23,16564.3
'2023/10/02 12:00,16565.2,16559.8
'2023/10/02 13:00,16559.13,16554.79
'2023/10/02 14:00,16557.62,16557.31
'2023/10/03 10:00,16520.24,16550.15
'2023/10/03 11:00,16551.17,16516.7
'2023/10/03 12:00,16506.06,16508.63
'2023/10/03 13:00,16509.82,16504.24
'2023/10/03 14:00,16499.97,16454.34
'2023/10/04 10:00,16419.48,16273.43
'2023/10/04 11:00,16271.46,16246.93
'2023/10/04 12:00,16247.35,16266.29
'2023/10/04 13:00,16265.32,16294.02
'2023/10/04 14:00,16302.79,16273.38
'2023/10/05 10:00,16313.89,16422.85
'2023/10/05 11:00,16423.38,16440.19
'2023/10/05 12:00,16440.2,16461.72
'2023/10/05 13:00,16465.46,16469.76
'2023/10/05 14:00,16468.67,16453.52
'2023/10/06 10:00,16482.93,16523.7
'2023/10/06 11:00,16524.04,16527.07
'2023/10/06 12:00,16527.2,16505.66
'2023/10/06 13:00,16505.63,16515.19
'2023/10/06 14:00,16516.46,16520.57
'2023/10/11 10:00,16567.43,16679.72
'2023/10/11 11:00,16678.05,16662.68
'2023/10/11 12:00,16662.49,16664.48
'2023/10/11 13:00,16662.81,16643.19
'2023/10/11 14:00,16654.66,16672.03
'2023/10/12 10:00,16698.85,16725.71
'2023/10/12 11:00,16726.45,16753.24
'2023/10/12 12:00,16753.52,16787.21
'2023/10/12 13:00,16796.26,16804.36
'2023/10/12 14:00,16803.72,16825.91
'2023/10/13 10:00,16815.91,16788.23
'2023/10/13 11:00,16790.51,16760.85
'2023/10/13 12:00,16762.14,16746.26
'2023/10/13 13:00,16738.38,16754.3
'2023/10/13 14:00,16755.29,16782.57
'2023/10/16 10:00,16712.93,16656.33
'2023/10/16 11:00,16655.97,16650.29
'2023/10/16 12:00,16641.51,16625.45
'2023/10/16 13:00,16628.54,16636.62
'2023/10/16 14:00,16635.46,16652.24
'2023/10/17 10:00,16678.28,16735.24
'2023/10/17 11:00,16728.86,16698.41
'2023/10/17 12:00,16706.44,16691.6
'2023/10/17 13:00,16691.54,16652.46
'2023/10/17 14:00,16650.71,16642.55
'2023/10/18 10:00,16608.02,16494.6
'2023/10/18 11:00,16485.72,16463.22
'2023/10/18 12:00,16464.17,16456.33
'2023/10/18 13:00,16456.43,16415.72
'2023/10/18 14:00,16414.5,16440.91
'2023/10/19 10:00,16416.54,16436.85
'2023/10/19 11:00,16431.93,16448.36
'2023/10/19 12:00,16448.43,16408.36
'2023/10/19 13:00,16417.17,16466.57
'2023/10/19 14:00,16463.74,16452.73
'2023/10/20 10:00,16434.43,16311.85
'2023/10/20 11:00,16314.66,16381.37
'2023/10/20 12:00,16373.35,16416.93
'2023/10/20 13:00,16419.46,16457.94
'2023/10/20 14:00,16450.08,16440.72
'2023/10/23 10:00,16391.41,16338.27
'2023/10/23 11:00,16336.5,16278.73
'2023/10/23 12:00,16268.56,16285.83
'2023/10/23 13:00,16290.85,16263.71
'2023/10/23 14:00,16260.76,16251.36
'2023/10/24 10:00,16257.8,16198.5
'2023/10/24 11:00,16189.84,16279.98
'2023/10/24 12:00,16270.84,16251.78
'2023/10/24 13:00,16252.91,16264.69
'2023/10/24 14:00,16273.4,16309.76
'2023/10/25 10:00,16320.71,16438.93
'2023/10/25 11:00,16438.37,16443.22
'2023/10/25 12:00,16452.44,16406.31
'2023/10/25 13:00,16398.27,16391.03
'2023/10/25 14:00,16399.67,16358.89
'2023/10/26 10:00,16305.16,16172.17
'2023/10/26 11:00,16164.1,16125.88
'2023/10/26 12:00,16117.73,16115.3
'2023/10/26 13:00,16113.42,16120.19
'2023/10/26 14:00,16120.51,16073.74
'2023/10/27 10:00,16112.75,16148.84
'2023/10/27 11:00,16149.14,16165.47
