date,大盤_開盤價,大盤_最高價,大盤_最低價,大盤_收盤價,大盤_成交量,大盤_SMA5,大盤_SMA10
'2020/02/26 00:00,11468.6,11494.22,11408.06,11433.62,1.75725E+11,11584.032,11669.897
'2020/02/27 00:00,11436.96,11470.23,11274.52,11292.17,2.01342E+11,11497.448,11619.936
'2020/03/02 00:00,11184.66,11282.05,11049.85,11170.46,1.99658E+11,11394.27,11555.412
'2020/03/03 00:00,11279.86,11390.24,11279.86,11327.72,1.61625E+11,11352.84,11511.833
'2020/03/04 00:00,11368.25,11392.35,11297.81,11392.35,1.37495E+11,11323.264,11486.17
'2020/03/05 00:00,11454.65,11525.32,11454.65,11514.82,1.43868E+11,11339.504,11461.768
'2020/03/06 00:00,11471.36,11471.36,11310.32,11321.81,1.49056E+11,11345.432,11421.44
'2020/03/09 00:00,11221.76,11221.76,10977.64,10977.64,2.30972E+11,11306.868,11350.569
'2020/03/10 00:00,10907.62,11032.47,10830.22,11003.54,2.05074E+11,11242.032,11297.436
'2020/03/11 00:00,11022.82,11088.23,10885.91,10893.75,1.74564E+11,11142.312,11232.788
'2020/03/12 00:00,10845.39,10845.39,10359.67,10422.32,2.70063E+11,10923.812,11131.658
'2020/03/13 00:00,10091.03,10171.2,9636.15,10128.87,3.02182E+11,10685.224,11015.328
'2020/03/16 00:00,10069.42,10130.8,9717.77,9717.77,2.09379E+11,10433.25,10870.059
'2020/03/17 00:00,9538.64,9677.07,9371.35,9439.63,2.36059E+11,10120.468,10681.25
'2020/03/18 00:00,9453.98,9509.61,9218.67,9218.67,2.09754E+11,9785.452,10463.882
'2020/03/19 00:00,9085.28,9085.28,8523.63,8681.34,2.69749E+11,9437.256,10180.534
'2020/03/20 00:00,8816.86,9264.42,8816.86,9234.09,2.34027E+11,9258.3,9971.762
'2020/03/23 00:00,9025.55,9029.52,8750.14,8890.03,1.46851E+11,9092.752,9763.001
'2020/03/24 00:00,9083.78,9415.64,9083.78,9285.62,1.53388E+11,9061.95,9591.209
'2020/03/25 00:00,9426.43,9722.37,9426.43,9644.75,1.83E+11,9147.166,9466.309
'2020/03/26 00:00,9667.14,9739.73,9565.02,9736.36,1.52797E+11,9358.17,9397.713
'2020/03/27 00:00,9807.9,9954.86,9691.14,9698.92,1.8016E+11,9451.136,9354.718
'2020/03/30 00:00,9571.22,9655.7,9415.52,9629.43,1.26232E+11,9599.016,9345.884
'2020/03/31 00:00,9689.62,9789.81,9630.3,9708.06,1.43847E+11,9683.504,9372.727
'2020/04/01 00:00,9726.2,9736,9663.63,9663.63,1.17372E+11,9687.28,9417.223
'2020/04/06 00:00,9707.75,9818.74,9651.52,9818.74,1.49789E+11,9703.756,9530.963
'2020/04/07 00:00,9928.16,10039.15,9928.16,9996.39,1.71214E+11,9763.25,9607.193
'2020/04/08 00:00,10010.64,10149.76,9984.66,10137.47,1.68627E+11,9864.858,9731.937
'2020/04/09 00:00,10173.26,10246.84,10092.36,10119.43,1.63079E+11,9947.132,9815.318
'2020/04/10 00:00,10105.43,10165.12,10103.77,10157.61,1.21269E+11,10045.928,9866.604
'2020/04/13 00:00,10147.56,10179.4,10080.65,10099.22,1.18358E+11,10102.024,9902.89
'2020/04/14 00:00,10130.65,10344.13,10130.65,10332.94,1.56504E+11,10169.334,9966.292
'2020/04/15 00:00,10366.77,10461.84,10366.77,10447.21,1.91128E+11,10231.282,10048.07
'2020/04/16 00:00,10385.78,10425.29,10317.13,10375.48,1.55758E+11,10282.492,10114.812
'2020/04/17 00:00,10554.55,10710.15,10552.58,10597.04,2.30958E+11,10370.378,10208.153
'2020/04/20 00:00,10612.45,10637.64,10542.96,10586.71,1.33669E+11,10467.876,10284.95
'2020/04/21 00:00,10544.8,10544.8,10278.95,10288.42,1.83281E+11,10458.972,10314.153
'2020/04/22 00:00,10256.11,10310.85,10140.09,10307.74,1.51798E+11,10431.078,10331.18
'2020/04/23 00:00,10370.13,10462.7,10294.88,10366.51,1.54763E+11,10429.284,10355.888
'2020/04/24 00:00,10367.97,10386.93,10324.2,10347.36,1.25343E+11,10379.348,10374.863
'2020/04/27 00:00,10407.49,10578.96,10407.49,10567.27,1.76807E+11,10375.46,10421.668
'2020/04/28 00:00,10580.25,10620.52,10537.71,10616.06,1.81912E+11,10440.988,10449.98
'2020/04/29 00:00,10656.4,10794.83,10656.4,10772.22,1.92287E+11,10533.884,10482.481
'2020/04/30 00:00,10826.26,11012.78,10826.26,10992.14,2.29085E+11,10659.01,10544.147
