date,time,open,close
'2023/08/21,10:45,16393,16394
'2023/08/21,11:45,16395,16338
'2023/08/21,12:45,16339,16347
'2023/08/21,13:45,16349,16351
'2023/08/22,09:45,16495,16423
'2023/08/22,10:45,16424,16390
'2023/08/22,11:45,16391,16435
'2023/08/22,12:45,16435,16424
'2023/08/22,13:45,16424,16401
'2023/08/23,09:45,16419,16485
'2023/08/23,10:45,16483,16539
'2023/08/23,11:45,16538,16510
'2023/08/23,12:45,16512,16534
'2023/08/23,13:45,16536,16559
'2023/08/24,09:45,16788,16746
'2023/08/24,10:45,16747,16754
'2023/08/24,11:45,16755,16678
'2023/08/24,12:45,16679,16715
'2023/08/24,13:45,16715,16759
'2023/08/25,09:45,16549,16512
'2023/08/25,10:45,16513,16507
'2023/08/25,11:45,16508,16469
'2023/08/25,12:45,16470,16475
'2023/08/25,13:45,16475,16421
'2023/08/28,09:45,16468,16510
'2023/08/28,10:45,16511,16545
'2023/08/28,11:45,16545,16490
'2023/08/28,12:45,16489,16498
'2023/08/28,13:45,16499,16490
'2023/08/29,09:45,16578,16545
'2023/08/29,10:45,16543,16512
'2023/08/29,11:45,16511,16506
'2023/08/29,12:45,16507,16529
'2023/08/29,13:45,16530,16624
'2023/08/30,09:45,16738,16767
'2023/08/30,10:45,16766,16727
'2023/08/30,11:45,16727,16733
'2023/08/30,12:45,16733,16736
'2023/08/30,13:45,16736,16724
'2023/08/31,09:45,16730,16648
'2023/08/31,10:45,16647,16685
'2023/08/31,11:45,16683,16632
'2023/08/31,12:45,16633,16646
'2023/08/31,13:45,16647,16628
'2023/09/01,09:45,16608,16675
'2023/09/01,10:45,16676,16699
'2023/09/01,11:45,16699,16665
'2023/09/01,12:45,16665,16679
'2023/09/01,13:45,16680,16651
'2023/09/04,09:45,16646,16632
'2023/09/04,10:45,16633,16738
'2023/09/04,11:45,16737,16751
'2023/09/04,12:45,16752,16742
'2023/09/04,13:45,16742,16782
'2023/09/05,09:45,16736,16748
'2023/09/05,10:45,16748,16743
'2023/09/05,11:45,16744,16738
'2023/09/05,12:45,16739,16756
'2023/09/05,13:45,16756,16754
'2023/09/06,09:45,16758,16761
'2023/09/06,10:45,16761,16754
'2023/09/06,11:45,16755,16729
'2023/09/06,12:45,16728,16730
'2023/09/06,13:45,16730,16711
'2023/09/07,09:45,16604,16622
'2023/09/07,10:45,16622,16628
'2023/09/07,11:45,16628,16641
'2023/09/07,12:45,16641,16578
'2023/09/07,13:45,16578,16564
'2023/09/08,09:45,16490,16488
'2023/09/08,10:45,16488,16565
'2023/09/08,11:45,16564,16556
'2023/09/08,12:45,16557,16550
'2023/09/08,13:45,16550,16563
'2023/09/11,09:45,16560,16429
'2023/09/11,10:45,16429,16398
'2023/09/11,11:45,16398,16392
'2023/09/11,12:45,16391,16409
'2023/09/11,13:45,16409,16427
'2023/09/12,09:45,16459,16458
'2023/09/12,10:45,16458,16525
'2023/09/12,11:45,16523,16558
'2023/09/12,12:45,16559,16544
'2023/09/12,13:45,16545,16573
'2023/09/13,09:45,16570,16579
'2023/09/13,10:45,16581,16540
'2023/09/13,11:45,16541,16525
'2023/09/13,12:45,16526,16566
'2023/09/13,13:45,16566,16577
'2023/09/14,09:45,16676,16774
'2023/09/14,10:45,16774,16777
'2023/09/14,11:45,16777,16788
'2023/09/14,12:45,16786,16817
'2023/09/14,13:45,16816,16838
'2023/09/15,09:45,16848,16828
'2023/09/15,10:45,16827,16837
'2023/09/15,11:45,16837,16871
'2023/09/15,12:45,16871,16892
'2023/09/15,13:45,16892,16906
'2023/09/18,09:45,16757,16785
'2023/09/18,10:45,16783,16746
'2023/09/18,11:45,16746,16734
'2023/09/18,12:45,16734,16729
'2023/09/18,13:45,16730,16709
'2023/09/19,09:45,16700,16683
'2023/09/19,10:45,16683,16679
'2023/09/19,11:45,16680,16676
'2023/09/19,12:45,16677,16650
'2023/09/19,13:45,16651,16609
'2023/09/20,09:45,16611,16627
'2023/09/20,10:45,16626,16592
'2023/09/20,11:45,16592,16606
'2023/09/20,12:45,16605,16553
'2023/09/20,13:45,16554,16537
'2023/09/21,09:45,16479,16343
'2023/09/21,10:45,16343,16300
'2023/09/21,11:45,16301,16320
'2023/09/21,12:45,16320,16302
'2023/09/21,13:45,16303,16309
'2023/09/22,09:45,16200,16283
'2023/09/22,10:45,16285,16304
'2023/09/22,11:45,16303,16316
'2023/09/22,12:45,16316,16315
'2023/09/22,13:45,16313,16345
'2023/09/25,09:45,16352,16424
'2023/09/25,10:45,16422,16451
'2023/09/25,11:45,16452,16483
'2023/09/25,12:45,16482,16471
'2023/09/25,13:45,16471,16464
'2023/09/26,09:45,16400,16318
'2023/09/26,10:45,16317,16300
'2023/09/26,11:45,16301,16307
'2023/09/26,12:45,16306,16296
'2023/09/26,13:45,16297,16308
'2023/09/27,09:45,16246,16293
'2023/09/27,10:45,16294,16271
'2023/09/27,11:45,16272,16258
'2023/09/27,12:45,16257,16290
'2023/09/27,13:45,16290,16311
'2023/09/28,09:45,16342,16366
'2023/09/28,10:45,16368,16334
'2023/09/28,11:45,16334,16320
'2023/09/28,12:45,16319,16343
'2023/09/28,13:45,16343,16368
'2023/10/02,09:45,16531,16596
'2023/10/02,10:45,16595,16587
'2023/10/02,11:45,16590,16574
'2023/10/02,12:45,16574,16561
'2023/10/02,13:45,16561,16557
'2023/10/03,09:45,16497,16546
'2023/10/03,10:45,16546,16499
'2023/10/03,11:45,16498,16516
'2023/10/03,12:45,16517,16496
'2023/10/03,13:45,16497,16412
'2023/10/04,09:45,16285,16179
'2023/10/04,10:45,16178,16228
'2023/10/04,11:45,16229,16237
'2023/10/04,12:45,16237,16264
'2023/10/04,13:45,16264,16245
'2023/10/05,09:45,16300,16387
'2023/10/05,10:45,16386,16450
'2023/10/05,11:45,16450,16469
'2023/10/05,12:45,16469,16470
'2023/10/05,13:45,16470,16456
'2023/10/06,09:45,16476,16514
'2023/10/06,10:45,16513,16538
'2023/10/06,11:45,16537,16533
'2023/10/06,12:45,16532,16529
'2023/10/06,13:45,16530,16531
'2023/10/11,09:45,16829,16727
'2023/10/11,10:45,16728,16708
'2023/10/11,11:45,16709,16709
'2023/10/11,12:45,16709,16703
'2023/10/11,13:45,16702,16717
'2023/10/12,09:45,16768,16754
'2023/10/12,10:45,16754,16783
'2023/10/12,11:45,16783,16813
'2023/10/12,12:45,16814,16840
'2023/10/12,13:45,16840,16848
'2023/10/13,09:45,16750,16790
'2023/10/13,10:45,16788,16777
'2023/10/13,11:45,16777,16768
'2023/10/13,12:45,16768,16775
'2023/10/13,13:45,16776,16770
'2023/10/16,09:45,16661,16659
'2023/10/16,10:45,16662,16635
'2023/10/16,11:45,16635,16636
'2023/10/16,12:45,16636,16629
'2023/10/16,13:45,16630,16648
'2023/10/17,09:45,16764,16737
'2023/10/17,10:45,16736,16724
'2023/10/17,11:45,16722,16695
'2023/10/17,12:45,16695,16657
'2023/10/17,13:45,16657,16650
'2023/10/18,09:45,16616,16519
'2023/10/18,10:45,16520,16488
'2023/10/18,11:45,16489,16481
'2023/10/18,12:45,16482,16464
'2023/10/18,13:45,16464,16426
'2023/10/19,09:45,16365,16459
'2023/10/19,10:45,16459,16461
'2023/10/19,11:45,16460,16412
'2023/10/19,12:45,16412,16475
'2023/10/19,13:45,16475,16458
'2023/10/20,09:45,16440,16290
'2023/10/20,10:45,16288,16323
'2023/10/20,11:45,16323,16418
'2023/10/20,12:45,16417,16443
'2023/10/20,13:45,16443,16413
'2023/10/23,09:45,16350,16328
'2023/10/23,10:45,16328,16272
'2023/10/23,11:45,16273,16267
'2023/10/23,12:45,16267,16267
'2023/10/23,13:45,16268,16254
'2023/10/24,09:45,16274,16160
'2023/10/24,10:45,16161,16310
'2023/10/24,11:45,16312,16260
'2023/10/24,12:45,16260,16269
'2023/10/24,13:45,16270,16335
'2023/10/25,09:45,16370,16441
'2023/10/25,10:45,16441,16472
'2023/10/25,11:45,16471,16400
'2023/10/25,12:45,16400,16414
'2023/10/25,13:45,16414,16358
'2023/10/26,09:45,16144,16168
'2023/10/26,10:45,16167,16092
'2023/10/26,11:45,16092,16081
'2023/10/26,12:45,16081,16093
'2023/10/26,13:45,16093,16069
'2023/10/27,09:45,16137,16191
'2023/10/27,10:45,16190,16191
'2023/10/27,11:45,16191,16137
'2023/10/27,12:45,16137,16160
'2023/10/27,13:45,16160,16151
'2023/10/30,09:45,16118,16195
'2023/10/30,10:45,16193,16141
'2023/10/30,11:45,16142,16190
'2023/10/30,12:45,16191,16154
'2023/10/30,13:45,16156,16157
'2023/10/31,09:45,16180,16163
'2023/10/31,10:45,16163,16134
'2023/10/31,11:45,16135,16038
'2023/10/31,12:45,16038,16015
'2023/10/31,13:45,16016,15994
'2023/11/01,09:45,16099,16062
'2023/11/01,10:45,16063,16025
'2023/11/01,11:45,16025,16051
'2023/11/01,12:45,16052,16089
'2023/11/01,13:45,16089,16048
'2023/11/02,09:45,16256,16351
'2023/11/02,10:45,16351,16352
'2023/11/02,11:45,16353,16381
'2023/11/02,12:45,16380,16380
'2023/11/02,13:45,16380,16390
'2023/11/03,09:45,16488,16493
'2023/11/03,10:45,16495,16488
'2023/11/03,11:45,16487,16504
'2023/11/03,12:45,16505,16487
'2023/11/03,13:45,16488,16512
'2023/11/06,09:45,16680,16669
'2023/11/06,10:45,16668,16710
'2023/11/06,11:45,16709,16705
'2023/11/06,12:45,16706,16715
'2023/11/06,13:45,16715,16670
'2023/11/07,09:45,16632,16679
'2023/11/07,10:45,16680,16681
'2023/11/07,11:45,16682,16659
'2023/11/07,12:45,16660,16680
'2023/11/07,13:45,16680,16709
'2023/11/08,09:45,16725,16754
'2023/11/08,10:45,16752,16782
'2023/11/08,11:45,16782,16756
'2023/11/08,12:45,16757,16748
'2023/11/08,13:45,16748,16749
'2023/11/09,09:45,16711,16773
'2023/11/09,10:45,16774,16713
'2023/11/09,11:45,16713,16751
'2023/11/09,12:45,16752,16759
'2023/11/09,13:45,16759,16763
'2023/11/10,09:45,16664,16682
'2023/11/10,10:45,16681,16675
'2023/11/10,11:45,16675,16652
'2023/11/10,12:45,16652,16690
'2023/11/10,13:45,16691,16736
'2023/11/13,09:45,16969,16892
'2023/11/13,10:45,16893,16893
'2023/11/13,11:45,16893,16854
'2023/11/13,12:45,16855,16872
'2023/11/13,13:45,16872,16876
'2023/11/14,09:45,16956,16948
'2023/11/14,10:45,16947,16951
'2023/11/14,11:45,16951,16954
'2023/11/14,12:45,16952,16961
'2023/11/14,13:45,16960,16949
'2023/11/15,09:45,17170,17119
'2023/11/15,10:45,17120,17131
'2023/11/15,11:45,17131,17098
'2023/11/15,12:45,17100,17072
'2023/11/15,13:45,17072,17123
'2023/11/16,09:45,17196,17171
'2023/11/16,10:45,17170,17149
'2023/11/16,11:45,17150,17119
'2023/11/16,12:45,17119,17162
'2023/11/16,13:45,17161,17186
'2023/11/17,09:45,17152,17220
'2023/11/17,10:45,17220,17198
'2023/11/17,11:45,17198,17227
'2023/11/17,12:45,17227,17235
'2023/11/17,13:45,17235,17222
