date,費半_開盤價,費半_最高價,費半_最低價,費半_收盤價,費半_SMA5,費半_SMA10
'2015/08/21 00:00,587.8,596.324,578.583,578.594,610.5906,626.1553636
'2015/08/24 00:00,545.54,590.951,543.026,566.576,596.4558,619.7692727
'2015/08/25 00:00,583.703,588.105,559.586,559.586,583.5716,611.3091818
'2015/08/26 00:00,575.13,588.504,566.298,587.823,577.4712,606.761
'2015/08/27 00:00,596.977,610.508,596.946,609.755,580.4668,603.8730909
'2015/08/28 00:00,607.219,614.528,607.023,613.907,587.5294,601.9674545
'2015/08/31 00:00,609.268,617.507,605.267,611.045,596.4232,600.1495455
'2015/09/01 00:00,595.541,605.194,586.559,590.121,602.5302,595.8650909
'2015/09/02 00:00,600.386,603.831,593.193,603.778,605.7212,594.0260909
'2015/09/03 00:00,607.355,616.47,606.807,608.581,605.4864,593.1402727
'2015/09/04 00:00,598.706,605.491,595.52,597.622,602.2294,593.3989091
'2015/09/08 00:00,612.863,624.547,612.567,624.061,604.8326,597.5322727
'2015/09/09 00:00,629.876,633.759,611.413,612.828,609.374,601.737
'2015/09/10 00:00,612.678,621.161,606.673,615.338,611.686,606.8053636
'2015/09/11 00:00,608.992,616.291,607.437,615.811,613.132,609.3497273
'2015/09/14 00:00,619.288,620.721,615.019,617.666,617.1408,610.0689091
'2015/09/15 00:00,621.254,626.92,619.797,625.145,617.3576,611.0905455
'2015/09/16 00:00,623.639,627.044,619.81,626.569,620.1058,612.5018182
'2015/09/17 00:00,625.368,631.366,620.014,621.049,621.248,615.3134545
'2015/09/18 00:00,612.163,618.366,608.225,610.747,620.2352,615.947
'2015/09/21 00:00,614.017,616.507,605.818,608.734,618.4488,615.9609091
'2015/09/22 00:00,598.836,600.177,592.905,595.06,612.4318,615.728
'2015/09/23 00:00,596.405,598.691,590.111,590.735,605.265,612.6983636
'2015/09/24 00:00,586.149,593.422,574.382,589.715,598.9982,610.5971818
'2015/09/25 00:00,597.976,601.938,587.358,592.876,595.424,608.5551818
'2015/09/28 00:00,590.01,592.398,576.404,576.418,588.9608,604.974
'2015/09/29 00:00,577.18,585.871,573.638,580.483,586.0454,601.5937273
'2015/09/30 00:00,588.478,603.352,588.331,602.734,588.4452,599.5563636
'2015/10/01 00:00,602.314,602.446,585.441,595.625,589.6272,596.7432727
'2015/10/02 00:00,590.17,608.468,587.486,608.457,592.7434,595.5985455
'2015/10/05 00:00,613.781,622.928,612.354,619.854,601.4306,596.4264545
'2015/10/06 00:00,618.996,623.717,610.742,621.954,609.7248,597.6282727
'2015/10/07 00:00,627.271,633.946,619.804,631.324,615.4428,600.925
'2015/10/08 00:00,629.39,635.245,624.403,634.812,623.2802,604.932
'2015/10/09 00:00,633.588,636.252,626.676,629.506,627.49,608.5493636
'2015/10/12 00:00,630.529,631.831,627.086,630.543,629.6278,611.9736364
'2015/10/13 00:00,625.07,629.34,622.081,622.284,629.6938,616.1432727
'2015/10/14 00:00,625.673,650.843,624.335,645.7,632.569,622.0720909
'2015/10/15 00:00,650.511,656.247,645.909,651.892,635.985,626.541
'2015/10/16 00:00,651.318,653.794,647.467,652.634,640.6106,631.7236364
'2015/10/19 00:00,651.184,657.1,647.85,652.875,645.077,635.7616364
'2015/10/20 00:00,652.395,654.353,648.436,651.871,650.9944,638.6722727
'2015/10/21 00:00,661.145,665.41,652.898,653.243,652.503,641.5167273
'2015/10/22 00:00,664.899,676.711,664.617,675.946,657.3138,645.5732727
'2015/10/23 00:00,678.577,685.78,674.821,683.712,663.5294,650.0187273
'2015/10/26 00:00,679.759,680.319,668.397,670.187,666.9918,653.717
'2015/10/27 00:00,665.757,670.609,664.132,665.713,669.7602,656.9142727
'2015/10/28 00:00,670.108,677.353,667.436,677.209,674.5534,661.9074545
'2015/10/29 00:00,662.166,664.223,655.326,656.937,670.7516,662.929
'2015/10/30 00:00,658.893,664.839,658.893,662.517,666.5126,663.8949091
'2015/11/02 00:00,662.879,669.372,662.786,668.533,666.1818,665.3402727
'2015/11/03 00:00,666.579,674.428,666.357,671.687,667.3766,667.0504545
